year,name,games,points,total_rebounds,assists,steals,blocks,field_goal,3_point_field_goal,free_throw,win_shares,win_shares_per_48_mins
1983,Jack Twyman,823,19.2,6.6,2.3,,,0.45,,0.778,75,0.138
1988,Wes Unseld,984,10.8,14,3.9,1.1,0.6,0.509,0.5,0.633,110.1,0.147
1975,Robert Vandivier,,,,,,,,,,,
1961,Edward Wachter,,,,,,,,,,,
2012,Chet Walker,1032,18.2,7.1,2.1,0.7,0.1,0.47,,0.796,117.4,0.168
1993,Bill Walton,468,13.3,10.5,3.4,0.8,2.2,0.521,0,0.66,39.3,0.142
1987,Bobby Wanzer,568,12.2,4.5,3.2,,,0.393,,0.802,63.9,0.156
2018,Ora Mae Washington,,,,,,,,,,,
2019,Teresa Weatherspoon,,,,,,,,,,,
1980,Jerry West,932,27,5.8,6.7,2.6,0.7,0.474,,0.814,162.6,0.213
2019,Paul Westphal,823,15.6,1.9,4.4,1.3,0.3,0.504,0.275,0.82,67.7,0.155
2015,Jo Jo White,837,17.2,4,4.9,1.3,0.2,0.444,0.167,0.834,54,0.087
1992,Nera White,,,,,,,,,,,
1989,Lenny Wilkens,1077,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,95.5,0.12
2012,Jamaal Wilkes,828,17.7,6.2,2.5,1.3,0.3,0.499,0.135,0.759,71.3,0.125
2006,Dominique Wilkins,1074,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148
2004,Lynette Woodard,,,,,,,,,,,
1960,John Wooden,,,,,,,,,,,
2003,James Worthy,926,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,81.2,0.13
1996,George Yardley,472,19.2,8.9,1.7,,,0.422,,0.78,58.5,0.178
