#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,Win Shares
123,P.J. Tucker,593,28.8,7.4,2.7,6.4,42.4,1,2.8,36.4,1,1.4,74.6,1.6,4.2,5.7,1.4,1.2,0.3,1,50.4,53.4,31.1
124,Ish Smith,551,19.5,7.4,3.2,7.4,42.7,0.4,1.2,30.5,0.7,1.1,67.7,0.4,2,2.4,3.8,0.7,0.2,1.3,45.2,47.1,11.1
125,Maurice Harkless,487,23,7.3,2.9,6.1,47.7,0.6,1.9,32.1,0.9,1.4,61.4,1.2,2.5,3.7,0.9,1,0.7,0.9,52.6,54.2,19.7
126,Iman Shumpert,446,25.2,7.3,2.7,6.9,39.3,1.1,3.2,34,0.8,1.1,76.6,0.7,2.7,3.4,1.9,1.1,0.3,1.2,47.1,49.8,12.9
127,Mike Scott,447,16.4,7.1,2.8,6,46.4,0.8,2.3,36.4,0.8,1,75.8,0.7,2.4,3.1,0.9,0.3,0.1,0.7,53.4,55.7,13.8
128,Cory Joseph,538,21.5,6.9,2.7,6.2,44.3,0.4,1.4,32.7,1,1.3,76.4,0.5,2.1,2.6,2.8,0.8,0.2,1,47.9,51.3,21.8
129,Patrick Patterson,634,21.7,6.9,2.7,6.1,44.8,0.9,2.3,36.7,0.6,0.8,74.7,1.2,2.9,4.1,1.1,0.6,0.5,0.7,51.9,53.6,29
130,Ed Davis,646,20.2,6.5,2.7,4.7,56.9,0,0,0,1.1,1.9,58.3,2.3,4.4,6.8,0.8,0.5,0.8,0.8,56.9,58.3,41.4
131,Tony Snell,454,22,6.3,2.3,5.4,42.6,1.2,3.1,38.6,0.5,0.6,82.2,0.3,2,2.3,1.1,0.5,0.2,0.6,53.8,55.6,14.1
132,Anthony Tolliver,675,19.9,6.3,2.1,5,41.6,1.2,3.3,37.4,0.9,1.2,77.3,0.8,2.6,3.4,0.9,0.4,0.3,0.6,53.8,57,25.3
133,Garrett Temple,525,20.3,5.9,2.1,5.2,40.8,0.9,2.5,35.3,0.8,1.1,73.2,0.4,1.8,2.1,1.6,0.9,0.3,0.9,49.2,52.1,11.8
134,Thabo Sefolosha,837,22.4,5.9,2.3,5,44.9,0.6,1.7,35.2,0.8,1.1,73.5,0.7,3.1,3.8,1.4,1.1,0.4,0.9,50.9,53.7,38.8
135,Aron Baynes,438,15.3,5.7,2.3,4.5,50.2,0.1,0.3,34.6,1,1.3,80.3,1.5,2.9,4.4,0.8,0.2,0.5,0.8,51.4,55.9,18.4
136,Meyers Leonard,404,15.6,5.6,2.2,4.5,48.4,0.7,1.8,39.3,0.6,0.7,82.2,0.7,3,3.8,0.9,0.2,0.3,0.7,56.3,58.8,14.2
137,Kyle O'Quinn,453,14.4,5.5,2.3,4.5,51.8,0.1,0.3,22.8,0.8,1.1,74.3,1.3,3.3,4.6,1.3,0.4,1,1,52.5,55.5,17.1
138,Ian Mahinmi,580,16.5,5,1.9,3.5,53.7,0,0,12.5,1.3,2.1,61.2,1.5,2.8,4.3,0.5,0.6,0.7,1,53.7,57,24.7
139,Bismack Biyombo,592,20.2,5,1.9,3.6,52,0,0,0,1.2,2.2,56.9,1.9,4.3,6.2,0.5,0.3,1.4,0.9,52,54.6,23.3
