Rk,Player,From,To,Lg,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
44,Larry Kenon,1974,1983,TOT,752,32.6,17.2,8.9,2.2,1.3,0.3,0.487,0.143,0.784,58.5,0.115
45,Caldwell Jones,1974,1990,TOT,1299,27,7.9,8.2,1.4,0.5,1.8,0.474,0.123,0.756,66.2,0.091
46,Scott Wedman,1975,1987,NBA,906,28.6,13.2,4.8,2,0.9,0.3,0.481,0.335,0.794,53.7,0.099
47,Truck Robinson,1975,1985,NBA,772,32.6,15.5,9.4,1.7,0.7,0.7,0.483,1,0.662,52.7,0.101
48,Maurice Lucas,1975,1988,TOT,1021,29.5,14.6,9.1,2.4,0.8,0.6,0.471,0.143,0.765,69,0.11
49,Billy Knight,1975,1985,TOT,821,28.9,16.9,5.3,2.3,1,0.2,0.507,0.284,0.827,63.9,0.129
50,Mickey Johnson,1975,1986,NBA,904,27.7,14.1,7.2,3,1.1,0.7,0.449,0.165,0.8,58.6,0.113
51,John Drew,1975,1985,NBA,739,29.5,20.7,6.9,1.7,1.4,0.3,0.47,0.175,0.748,68.9,0.152
52,Gus Williams,1976,1987,NBA,825,31.1,17.1,2.7,5.6,2,0.4,0.461,0.238,0.756,67.9,0.127
53,Dan Roundfield,1976,1987,TOT,813,29.8,14.3,9.2,2,0.9,1.4,0.482,0.111,0.735,66.5,0.132
54,World B. Free,1976,1988,NBA,886,30.4,20.3,2.7,3.7,1,0.3,0.456,0.337,0.753,67.7,0.121
55,Alvan Adams,1976,1988,NBA,988,27.5,14.1,7,4.1,1.3,0.8,0.498,0.133,0.788,73.5,0.13
56,John Lucas,1977,1990,NBA,928,27.5,10.7,2.3,7,1.4,0.1,0.449,0.303,0.776,53.7,0.101
57,Tree Rollins,1978,1995,NBA,1156,20.8,5.4,5.8,0.6,0.4,2.2,0.522,0,0.7,63.9,0.128
58,Cedric Maxwell,1978,1988,NBA,835,28.5,12.5,6.3,2.2,0.8,0.5,0.546,0.053,0.784,78.5,0.159
59,Marques Johnson,1978,1990,NBA,691,34.3,20.1,7,3.6,1.3,0.8,0.518,0.152,0.739,79.8,0.162
60,James Edwards,1978,1996,NBA,1168,24.3,12.7,5.1,1.3,0.4,0.7,0.495,0.048,0.698,59.7,0.101
61,Walter Davis,1978,1992,NBA,1033,27.9,18.9,3,3.8,1.2,0.1,0.511,0.272,0.851,76.9,0.128
62,Brad Davis,1978,1992,NBA,961,23.2,8.2,1.8,4.9,0.8,0.2,0.51,0.321,0.828,53.6,0.115
63,Greg Ballard,1978,1989,NBA,802,27.5,12.4,6.1,2.2,1.1,0.3,0.472,0.338,0.787,54,0.117
64,Mychal Thompson,1979,1991,NBA,935,29.7,13.7,7.4,2.3,0.7,1.1,0.504,0.083,0.655,59.1,0.102
65,Reggie Theus,1979,1991,NBA,1026,33.7,18.5,3.3,6.3,1.2,0.2,0.471,0.252,0.826,66.9,0.093
66,Purvis Short,1979,1990,NBA,842,29.2,17.3,4.3,2.5,1,0.2,0.474,0.282,0.824,51.1,0.1
67,Mike Mitchell,1979,1988,NBA,759,32.3,19.8,5.6,1.3,0.7,0.5,0.493,0.216,0.779,50.2,0.098
68,Michael Cooper,1979,1990,NBA,873,27.1,8.9,3.2,4.2,1.2,0.6,0.469,0.34,0.833,52.5,0.107
69,Jim Paxson,1980,1990,NBA,784,27.2,14.3,2,2.9,1.2,0.1,0.498,0.225,0.807,53.7,0.121
70,Calvin Natt,1980,1990,NBA,599,31.4,17.2,6.8,2.2,0.9,0.3,0.528,0.219,0.768,57.2,0.146
71,Vinnie Johnson,1980,1992,NBA,984,24.7,12,3.2,3.3,0.9,0.3,0.464,0.254,0.74,50.8,0.1
72,Bill Cartwright,1980,1995,NBA,963,28.5,13.2,6.3,1.4,0.5,0.7,0.525,0,0.771,72.8,0.127
73,Kiki Vandeweghe,1981,1993,NBA,810,30.3,19.7,3.4,2.1,0.6,0.3,0.525,0.368,0.872,75.6,0.148
74,Rick Mahorn,1981,1999,NBA,1117,23.1,6.9,6.2,1,0.6,0.9,0.493,0.132,0.704,51.7,0.096
75,Bill Laimbeer,1981,1994,NBA,1068,31.8,12.9,9.7,2,0.7,0.9,0.498,0.326,0.837,105.6,0.149
